date,supply_BTC,act_addr_BTC,market_dom_BTC
2024-04-22,19688312,659537.0,51.2221943358887
2024-04-23,19688765,547174.0,51.214509809819226
2024-04-24,19689303,835569.0,51.09391004841369
2024-04-25,19689784,818807.0,50.974016939516815
2024-04-26,19690253,847289.0,51.00858389911012
2024-04-27,19690659,856864.0,51.08196518993841
2024-04-28,19691100,707117.0,50.55829794883866
2024-04-29,19691534,856192.0,50.452720788887355
2024-04-30,19691928,827915.0,50.97787114294463
2024-05-01,19692375,781183.0,51.01628385020862
2024-05-02,19692793,744998.0,50.19768533088546
2024-05-03,19693221,731936.0,50.2322383718949
2024-05-04,19693656,613171.0,50.876146695505916
2024-05-05,19694106,573428.0,51.09052132146654
2024-05-06,19694521,670316.0,50.96415451815136
2024-05-07,19694909,702887.0,50.96311533590151
2024-05-08,19695293,697417.0,51.056147121806866
2024-05-09,19695678,671205.0,50.89444034466776
2024-05-10,19696115,606931.0,50.94536407281512
2024-05-11,19696578,612137.0,50.80815897125886
2024-05-12,19697056,573640.0,50.77957732856762
2024-05-13,19697506,746125.0,51.0559947139861
2024-05-14,19697968,686207.0,51.557806537608776
2024-05-15,19698365,714393.0,51.60288903743973
2024-05-16,19698815,689540.0,52.170891278323715
2024-05-17,19699253,743911.0,52.1768348073815
2024-05-18,19699743,650957.0,52.02865910464709
2024-05-19,19700128,637953.0,51.885112295208835
2024-05-20,19700618,706063.0,52.09945742753943
2024-05-21,19701118,746087.0,51.39681960090419
2024-05-22,19701556,709347.0,50.64385067580557
2024-05-23,19702006,728396.0,50.53367463162783
2024-05-24,19702309,663534.0,50.051358891912066
2024-05-25,19703034,591356.0,50.4104570423915
2024-05-26,19703496,538911.0,50.381979918138015
2024-05-27,19704068,612909.0,50.07045048790175
2024-05-28,19704353,653177.0,49.68716214127432
2024-05-29,19704678,559784.0,49.67176147713803
2024-05-30,19705196,649063.0,49.819208724780914
2024-05-31,19705709,656289.0,50.21957098418068
2024-06-01,19706168,570980.0,50.12302737462719
2024-06-02,19706571,536181.0,49.573276207804724
2024-06-03,19707028,689745.0,49.83311886425508
2024-06-04,19707300,637180.0,50.18411018694851
2024-06-05,19707753,592424.0,50.26602319994468
2024-06-06,19708003,624088.0,50.140720752758476
2024-06-07,19708425,583336.0,50.48368862834537
2024-06-08,19709196,772154.0,50.794591236515465
2024-06-09,19709721,609844.0,51.03976889453545
2024-06-10,19710168,684041.0,50.9100560716672
2024-06-11,19710618,684207.0,51.33884446900329
2024-06-12,19711006,677849.0,51.523056990703225
2024-06-13,19711471,613255.0,51.1313988753408
2024-06-14,19711893,606488.0,51.342654589150555
2024-06-15,19712165,635369.0,51.33467796921911
2024-06-16,19712475,735939.0,51.015249124980826
2024-06-17,19713256,724644.0,50.85152166521606
2024-06-18,19713725,733498.0,51.536731179532914
2024-06-19,19714162,622245.0,51.65661209912933
2024-06-20,19714543,661281.0,51.19681865081697
2024-06-21,19714762,719280.0,51.33806031099176
2024-06-22,19715084,639305.0,51.079159828548875
2024-06-23,19715387,511478.0,51.20173715101113
2024-06-24,19715750,756391.0,51.422021821846485
2024-06-25,19716287,631668.0,50.36835651224593
2024-06-26,19716756,659381.0,50.74074736022571
2024-06-27,19717375,741302.0,50.57475028134418
2024-06-28,19717909,752964.0,50.33589145586626
2024-06-29,19718231,720705.0,50.43825675288711
2024-06-30,19718537,653363.0,50.69923439175298
2024-07-01,19718865,907181.0,50.899962298706576
2024-07-02,19719131,750376.0,50.94405830932169
2024-07-03,19719350,769767.0,50.53628158636782
2024-07-04,19719378,715636.0,50.769026792707244
2024-07-05,19719450,694964.0,51.10376242818052
2024-07-06,19719534,720587.0,51.2859717861367
2024-07-07,19719587,594423.0,50.960665643523996
2024-07-08,19719634,798942.0,51.20252351567888
2024-07-09,19719690,762581.0,50.86498914805734
2024-07-10,19719750,646708.0,51.070810129660835
2024-07-11,19719846,646553.0,50.7480857113233
2024-07-12,19719984,708446.0,50.7305685903387
2024-07-13,19720150,601071.0,50.61654493571398
2024-07-14,19720234,751254.0,50.79407438557565
2024-07-15,19720325,787506.0,50.933132689315336
2024-07-16,19726150,746639.0,51.080003540080654
2024-07-17,19726587,729938.0,51.2765887073249
2024-07-18,19727084,764574.0,51.211300419289515
2024-07-19,19727481,755308.0,50.836040962529374
2024-07-20,19727962,673407.0,51.20697560147647
2024-07-21,19728478,,51.197676252043046
2024-07-22,19729018,,51.294579702181956
