date,supply_ETH,act_addr_ETH,market_dom_ETH
2022-07-06,119604011.97781911,473739,14.911756415884495
2022-07-07,119615647.44877638,487099,15.334509646163218
2022-07-08,119628497.07886232,477729,15.427852716075071
2022-07-09,119641815.6208548,483066,15.206069377119357
2022-07-10,119655386.05789503,490860,12.567855906953993
2022-07-11,119667974.75752756,443569,12.33395574728775
2022-07-12,119681108.5738278,456163,14.728415840824171
2022-07-13,119693653.03547212,484144,14.291954126872177
2022-07-14,119705743.57346758,510337,14.77713657829102
2022-07-15,119718018.95003544,544139,15.402734426420224
2022-07-16,119731248.94636926,581997,15.71975675867939
2022-07-17,119744445.04191443,549322,16.744865382935796
2022-07-18,119756904.68233846,505030,16.743892260254157
2022-07-19,119769376.18435973,486985,18.211840167038932
2022-07-20,119781858.10649735,498968,17.416754853025697
2022-07-21,119795251.23399481,514480,17.48220459919988
2022-07-22,119809042.87623185,536353,17.881107257540993
2022-07-23,119823112.81820124,494078,17.68127284692003
2022-07-24,119837360.12094292,488382,17.96923022877442
2022-07-25,119850696.37100129,604888,18.366625361743143
2022-07-26,119863773.27294345,1062036,17.629649614743375
2022-07-27,119877191.51955035,529737,17.71751061801723
2022-07-28,119890322.64416662,503503,18.189464733550082
2022-07-29,119904087.70818794,529535,18.731096077640103
2022-07-30,119918495.90864837,533711,18.547551958676735
2022-07-31,119932881.33297314,522937,18.33265921508065
2022-08-01,119946845.83849464,665346,18.567728518618672
2022-08-02,119960796.91725491,534161,18.185491138556852
2022-08-03,119974762.19152974,572150,18.374693328506233
2022-08-04,119988676.36501208,844084,18.239066759709505
2022-08-05,120002727.60252056,550946,18.14328124612059
2022-08-06,120016986.94718452,550609,18.806391802905022
2022-08-07,120031327.60963188,544195,18.607396901431517
2022-08-08,120044884.77628064,506050,18.51684801898819
2022-08-09,120058240.08946665,486723,18.848872111957824
2022-08-10,120070817.01505017,493666,16.919891110457332
2022-08-11,120083675.77554698,466257,17.772595444783175
2022-08-12,120097055.33469993,496418,19.717213402086614
2022-08-13,120111192.10340336,492914,20.025527459780765
2022-08-14,120125140.73620725,475908,19.67184300445402
2022-08-15,120138369.22082326,456264,19.907585921529446
2022-08-16,120152334.64216901,488764,19.799835187659866
2022-08-17,120166047.30548187,497330,19.635997811231814
2022-08-18,120179906.06036511,502273,19.672082604001986
2022-08-19,120193252.4669734,467001,20.07773687462979
2022-08-20,120207283.2907986,459701,19.139558375912923
2022-08-21,120221688.47971585,482413,15.170758723876185
