nb_neurons,nb_iter,random_state,accuracy,accuracy_test
128.0,2000.0,0.0,0.9473684210526315,0.5217391304347826
128.0,2000.0,1.0,0.9450800915331807,0.6086956521739131
128.0,2000.0,2.0,0.9496567505720824,0.5217391304347826
128.0,2000.0,3.0,0.9588100686498856,0.5217391304347826
128.0,2000.0,4.0,0.9427917620137299,0.5217391304347826
128.0,4000.0,0.0,0.9977116704805492,0.4782608695652174
128.0,4000.0,1.0,1.0,0.6956521739130435
128.0,4000.0,2.0,1.0,0.4782608695652174
128.0,4000.0,3.0,1.0,0.5217391304347826
128.0,4000.0,4.0,1.0,0.5652173913043478
128.0,8000.0,0.0,1.0,0.4782608695652174
128.0,8000.0,1.0,1.0,0.6521739130434783
128.0,8000.0,2.0,1.0,0.4782608695652174
128.0,8000.0,3.0,1.0,0.6086956521739131
128.0,8000.0,4.0,1.0,0.5652173913043478
128.0,16000.0,0.0,1.0,0.4782608695652174
128.0,16000.0,1.0,1.0,0.6521739130434783
128.0,16000.0,2.0,1.0,0.43478260869565216
128.0,16000.0,3.0,1.0,0.5652173913043478
128.0,16000.0,4.0,1.0,0.5217391304347826
128.0,32000.0,0.0,1.0,0.5217391304347826
128.0,32000.0,1.0,1.0,0.6521739130434783
128.0,32000.0,2.0,1.0,0.43478260869565216
128.0,32000.0,3.0,1.0,0.4782608695652174
128.0,32000.0,4.0,1.0,0.5217391304347826
256.0,1000.0,0.0,0.9290617848970252,0.5652173913043478
256.0,1000.0,1.0,0.9016018306636155,0.6086956521739131
256.0,1000.0,2.0,0.9107551487414187,0.5652173913043478
256.0,1000.0,3.0,0.9107551487414187,0.5217391304347826
256.0,1000.0,4.0,0.8947368421052632,0.6956521739130435
256.0,2000.0,0.0,0.9931350114416476,0.5217391304347826
256.0,2000.0,1.0,0.9931350114416476,0.4782608695652174
256.0,2000.0,2.0,0.988558352402746,0.5652173913043478
256.0,2000.0,3.0,0.9862700228832952,0.5217391304347826
256.0,2000.0,4.0,0.9977116704805492,0.6086956521739131
256.0,4000.0,0.0,1.0,0.4782608695652174
256.0,4000.0,1.0,1.0,0.5217391304347826
256.0,4000.0,2.0,1.0,0.6086956521739131
256.0,4000.0,3.0,1.0,0.5217391304347826
256.0,4000.0,4.0,1.0,0.6086956521739131
256.0,8000.0,0.0,1.0,0.5217391304347826
256.0,8000.0,1.0,1.0,0.5652173913043478
256.0,8000.0,2.0,1.0,0.6086956521739131
256.0,8000.0,3.0,1.0,0.5652173913043478
256.0,8000.0,4.0,1.0,0.4782608695652174
256.0,16000.0,0.0,1.0,0.4782608695652174
256.0,16000.0,1.0,1.0,0.6086956521739131
256.0,16000.0,2.0,1.0,0.6086956521739131
256.0,16000.0,3.0,1.0,0.5652173913043478
256.0,16000.0,4.0,1.0,0.5217391304347826
256.0,32000.0,0.0,1.0,0.5217391304347826
256.0,32000.0,1.0,1.0,0.4782608695652174
256.0,32000.0,2.0,1.0,0.5652173913043478
256.0,32000.0,3.0,1.0,0.5217391304347826
256.0,32000.0,4.0,1.0,0.391304347826087
